Warnings (1):
content 221869 _a-0000def2-cb5b-8000-9ba2-011c48011c48_237041 "UAP_filterGraduateTestScores": The object references the deleted type [{urn:com:appian:types:UAP}UAP_testScore?list^12]. The deleted type will not be included in the export and references to the type have been updated to point to [{urn:com:appian:types:UAP}UAP_testScore?list], which must be present on the target system or included in this package. After importing, please verify that the object works as expected. (APNX-2-4053-003)

Success (537):
datatype 7642 {urn:com:appian:types:UAP}UAP_reference "{urn:com:appian:types:UAP}UAP_reference"
content 204489 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219548 "UAP_GRP_FACULTY_REVIEWERS"
content 225805 _a-0000defe-bf54-8000-9ba2-011c48011c48_242244 "UAP_BTN_RETRY"
content 225959 _a-0000defe-bf54-8000-9ba2-011c48011c48_242442 "UAP_T_PROGRAM"
content 203779 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218782 "UAP_BTN_CANCEL"
content 227234 _a-0000defe-bf54-8000-9ba2-011c48011c48_243831 "UAP_UPDATE_HEADER_URL"
content 225958 _a-0000defe-bf54-8000-9ba2-011c48011c48_242441 "UAP_T_NA"
content 225960 _a-0000defe-bf54-8000-9ba2-011c48011c48_242443 "UAP_T_TERM"
content 208449 _a-0000dec3-7017-8000-9ba2-011c48011c48_223658 "UAP_DS_GRAD_APP_DETAIL"
content 210110 _a-0000decc-9caf-8000-9ba2-011c48011c48_225547 "UAP_MISSING_DOCS_HEADER_URL"
content 226721 _a-0000defe-bf54-8000-9ba2-011c48011c48_243276 "UAP_useStubbedEmail"
content 226760 _a-0000defe-bf54-8000-9ba2-011c48011c48_243315 "UAP_T_TEST_EMAIL"
content 230821 _a-0000df0b-4b17-8000-9ba2-011c48011c48_247452 "UAP_DS_APPXTENDER_INDEX"
content 209976 _a-0000decc-9caf-8000-9ba2-011c48011c48_225409 "UAP_RT_GRADUATE_APPLICATION"
content 231790 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218275 "UAP_d_graduateApplication"
content 216589 _a-0000dee0-8e2c-8000-9ba2-011c48011c48_232694 "UAP_T_NONE"
content 231286 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218276 "UAP_s_applicant"
content 204289 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218342 "UAP_DS_LEVEL1"
content 204288 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218343 "UAP_DS_LEVEL2"
content 204286 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218344 "UAP_DS_LEVEL3"
content 210695 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218345 "UAP_getLevelOne"
content 226347 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218348 "UAP_getLevelTwo"
content 225862 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218352 "UAP_getLevelThree"
content 203645 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218616 "UAP_V_DS_PROGRAM_DEGREE"
content 216964 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218623 "UAP_v_getProgramDegree"
